사업명,기준년월,시도,시군구,수급권자수,수급가구수
기초생활보장(맞춤형급여),2025-12,경기도,수원시장안구,8947,7033
기초생활보장(맞춤형급여),2025-12,경기도,수원시권선구,12037,9237
기초생활보장(맞춤형급여),2025-12,경기도,수원시팔달구,8510,6959
기초생활보장(맞춤형급여),2025-12,경기도,수원시영통구,4453,3504
기초생활보장(맞춤형급여),2025-12,경기도,성남시,530,530
기초생활보장(맞춤형급여),2025-12,경기도,성남시수정구,15124,11746
기초생활보장(맞춤형급여),2025-12,경기도,성남시중원구,11543,8617
기초생활보장(맞춤형급여),2025-12,경기도,성남시분당구,9296,6831
기초생활보장(맞춤형급여),2025-12,경기도,의정부시,28407,20853
기초생활보장(맞춤형급여),2025-12,경기도,안양시,435,435
기초생활보장(맞춤형급여),2025-12,경기도,안양시만안구,10259,7957
기초생활보장(맞춤형급여),2025-12,경기도,안양시동안구,6280,4718
기초생활보장(맞춤형급여),2025-12,경기도,부천시,113,113
기초생활보장(맞춤형급여),2025-12,경기도,부천시 원미구,15742,12231
기초생활보장(맞춤형급여),2025-12,경기도,부천시 소사구,9777,7590
기초생활보장(맞춤형급여),2025-12,경기도,부천시 오정구,8726,6307
기초생활보장(맞춤형급여),2025-12,경기도,광명시,10271,7492
기초생활보장(맞춤형급여),2025-12,경기도,평택시,22750,16439
기초생활보장(맞춤형급여),2025-12,경기도,동두천시,9852,7099
기초생활보장(맞춤형급여),2025-12,경기도,안산시,936,937
기초생활보장(맞춤형급여),2025-12,경기도,안산시상록구,22327,15593
기초생활보장(맞춤형급여),2025-12,경기도,안산시단원구,14572,10606
기초생활보장(맞춤형급여),2025-12,경기도,고양시,1499,1497
기초생활보장(맞춤형급여),2025-12,경기도,고양시덕양구,23317,17432
기초생활보장(맞춤형급여),2025-12,경기도,고양시일산동구,10686,7706
기초생활보장(맞춤형급여),2025-12,경기도,고양시일산서구,7258,5284
기초생활보장(맞춤형급여),2025-12,경기도,과천시,1365,1022
기초생활보장(맞춤형급여),2025-12,경기도,구리시,8999,6822
기초생활보장(맞춤형급여),2025-12,경기도,남양주시,32269,23281
기초생활보장(맞춤형급여),2025-12,경기도,오산시,8701,6316
기초생활보장(맞춤형급여),2025-12,경기도,시흥시,21702,15903
기초생활보장(맞춤형급여),2025-12,경기도,군포시,12208,8970
기초생활보장(맞춤형급여),2025-12,경기도,의왕시,4230,3171
기초생활보장(맞춤형급여),2025-12,경기도,하남시,9260,7072
기초생활보장(맞춤형급여),2025-12,경기도,용인시,392,388
기초생활보장(맞춤형급여),2025-12,경기도,용인시처인구,8847,6456
기초생활보장(맞춤형급여),2025-12,경기도,용인시기흥구,12168,8559
기초생활보장(맞춤형급여),2025-12,경기도,용인시수지구,3395,2497
기초생활보장(맞춤형급여),2025-12,경기도,파주시,29238,20220
기초생활보장(맞춤형급여),2025-12,경기도,이천시,8479,6296
기초생활보장(맞춤형급여),2025-12,경기도,안성시,9197,7056
기초생활보장(맞춤형급여),2025-12,경기도,김포시,17719,12781
기초생활보장(맞춤형급여),2025-12,경기도,화성시,22577,16772
기초생활보장(맞춤형급여),2025-12,경기도,광주시,13195,9306
기초생활보장(맞춤형급여),2025-12,경기도,양주시,18458,12692
기초생활보장(맞춤형급여),2025-12,경기도,포천시,10640,8083
기초생활보장(맞춤형급여),2025-12,경기도,여주시,7287,5490
기초생활보장(맞춤형급여),2025-12,경기도,연천군,3230,2593
기초생활보장(맞춤형급여),2025-12,경기도,가평군,4832,3940
기초생활보장(맞춤형급여),2025-12,경기도,양평군,6670,5242
기초생활보장(맞춤형급여),2025-12,충청북도,청주시,1119,1120
기초생활보장(맞춤형급여),2025-12,충청북도,청주시상당구,10732,7873
기초생활보장(맞춤형급여),2025-12,충청북도,청주시서원구,10660,8058
기초생활보장(맞춤형급여),2025-12,충청북도,청주시흥덕구,9723,6857
기초생활보장(맞춤형급여),2025-12,충청북도,청주시청원구,7739,5591
기초생활보장(맞춤형급여),2025-12,충청북도,충주시,13207,10082
기초생활보장(맞춤형급여),2025-12,충청북도,제천시,9898,7594
기초생활보장(맞춤형급여),2025-12,충청북도,보은군,2253,1783
기초생활보장(맞춤형급여),2025-12,충청북도,옥천군,3678,2873
기초생활보장(맞춤형급여),2025-12,충청북도,영동군,2974,2320
